month,year,avg_debit
12,1958,2.2705216535433064E-5
1,1959,2.2431936270653027E-5
2,1959,1.0265851374570446E-5
3,1959,1.6692987711213517E-5
4,1959,1.9482903174603175E-5
5,1959,2.206210368663595E-5
6,1959,1.860382857142857E-5
7,1959,1.1176072196620582E-5
8,1959,7.258249615975422E-6
9,1959,6.425684126984124E-6
10,1959,8.939529953917052E-6
11,1959,1.066323412698413E-5
12,1959,2.9426363287250382E-5
1,1960,2.3644943197755968E-5
2,1960,2.1292741379310352E-5
3,1960,2.442817180925666E-5
4,1960,1.612356524822695E-5
5,1960,2.500000274536719E-5
6,1960,2.5312195744680855E-5
7,1960,1.4980747426218255E-5
8,1960,1.5699880576527104E-5
9,1960,1.8363738297872345E-5
10,1960,4.1110037062457105E-5
11,1960,3.0087651773049643E-5
12,1960,1.7124374742621825E-5
1,1961,1.877795161290322E-5
2,1961,2.3501390109890105E-5
3,1961,1.2914978908188584E-5
4,1961,1.6795732704402513E-5
5,1961,1.7650035301278148E-5
6,1961,2.2265793081761E-5
7,1961,1.703439926962872E-5
8,1961,1.0261338405356055E-5
9,1961,6.692154716981129E-6
10,1961,9.441648204503953E-6
11,1961,1.3075447169811324E-5
12,1961,2.0561595252586732E-5
1,1962,2.256368035190615E-5
2,1962,1.1738183862433867E-5
3,1962,1.6543716248506564E-5
4,1962,2.6897306060606055E-5
5,1962,2.375213900293255E-5
6,1962,2.2120944848484857E-5
7,1962,1.1415814076246326E-5
8,1962,7.636668035190614E-6
9,1962,5.934804848484848E-6
10,1962,4.342860997067448E-6
11,1962,1.0007101212121213E-5
12,1962,1.2028112625963249E-5
1,1963,1.293499423963134E-5
2,1963,9.028072066326535E-6
3,1963,2.3834028225806457E-5
4,1963,2.898225535714286E-5
5,1963,2.3982021313364053E-5
6,1963,3.286737321428572E-5
7,1963,1.7790874423963126E-5
8,1963,1.83459331797235E-5
9,1963,1.446573988095238E-5
10,1963,9.69580875576037E-6
11,1963,3.175306726190475E-5
12,1963,1.2668112903225805E-5
1,1964,1.0449548973607039E-5
2,1964,1.1853798653610768E-5
3,1964,2.2255589134125635E-5
4,1964,2.5450912865497073E-5
5,1964,2.6782487832484432E-5
6,1964,2.0353586549707594E-5
7,1964,1.1040273910582906E-5
8,1964,8.50667176004527E-6
9,1964,8.135829824561399E-6
10,1964,1.210256253537068E-5
11,1964,9.207294736842104E-6
12,1964,7.950664968873797E-6
1,1965,1.3381342046718577E-5
2,1965,1.0599876847290641E-5
3,1965,1.9620275862068962E-5
4,1965,1.602060724554342E-5
5,1965,2.328631201334816E-5
6,1965,2.0632787356321832E-5
7,1965,1.4366392658509458E-5
8,1965,1.042904560622914E-5
9,1965,1.9803439655172413E-5
10,1965,1.6509624579124586E-5
11,1965,2.2836045977011497E-5
12,1965,3.577203368893882E-5
1,1966,3.595446637506834E-5
2,1966,3.472646368038743E-5
3,1966,2.2074714051394207E-5
4,1966,2.6214530000000013E-5
5,1966,3.450723010752688E-5
6,1966,2.6596630555555555E-5
7,1966,1.649018440860215E-5
8,1966,1.1754384408602141E-5
9,1966,7.990384444444444E-6
10,1966,1.338575268817204E-5
11,1966,1.955281888888889E-5
12,1966,3.514177473118278E-5
1,1967,2.2112709148598626E-5
2,1967,2.2879687353629976E-5
3,1967,2.508216816499207E-5
4,1967,1.4642641530054646E-5
5,1967,2.1135730301427808E-5
6,1967,1.8551280327868837E-5
7,1967,1.4529588048651509E-5
8,1967,1.0510052882072977E-5
9,1967,8.289124043715844E-6
10,1967,7.101004759386569E-6
11,1967,1.8967034426229503E-5
12,1967,1.482346747752512E-5
1,1968,2.7420303225806435E-5
2,1968,2.2976018390804587E-5
3,1968,1.611042043010752E-5
4,1968,2.0040297222222215E-5
5,1968,2.824678978494623E-5
6,1968,2.4650073333333326E-5
7,1968,1.5901861827956987E-5
8,1968,1.7507720430107528E-5
9,1968,2.476133222222222E-5
10,1968,1.693799032258064E-5
11,1968,1.966553111111111E-5
12,1968,2.0931523118279563E-5
1,1969,3.040808288530466E-5
2,1969,2.9548347718253966E-5
3,1969,3.687611135660628E-5
4,1969,3.295325416666667E-5
5,1969,5.035963664874553E-5
6,1969,3.802784018264841E-5
7,1969,2.743302016129032E-5
8,1969,1.831140256296951E-5
9,1969,2.1402047488584472E-5
10,1969,1.3417284577993815E-5
11,1969,2.0951899443929567E-5
12,1969,2.2663335302135395E-5
1,1970,3.6533412713472505E-5
2,1970,5.576228518907565E-5
3,1970,3.433138479262673E-5
4,1970,4.374765277777777E-5
5,1970,3.957090994623656E-5
6,1970,4.659486894977169E-5
7,1970,2.3996967541129394E-5
8,1970,1.5425284370801608E-5
9,1970,1.1958010251630941E-5
10,1970,1.6503856630824375E-5
11,1970,1.8487845833333337E-5
12,1970,1.683695026881721E-5
1,1971,2.1697047704770482E-5
2,1971,2.8867219667318982E-5
3,1971,2.5648297676457688E-5
4,1971,4.3118722421524684E-5
5,1971,3.97908159139785E-5
6,1971,4.2817491111111095E-5
7,1971,2.442218924731183E-5
8,1971,1.6034102497846686E-5
9,1971,1.3739972804279983E-5
10,1971,9.306124567474053E-6
11,1971,1.130178464334394E-5
12,1971,1.1909022536456028E-5
1,1972,1.9151328947368415E-5
2,1972,3.3559966424682395E-5
3,1972,2.792936078098472E-5
4,1972,2.7474308333333327E-5
5,1972,2.1180267033432086E-5
6,1972,2.9288881385281377E-5
7,1972,2.048278592375367E-5
8,1972,1.2182367665681718E-5
9,1972,1.180091140350877E-5
10,1972,1.444768845500849E-5
11,1972,2.5605021491228064E-5
12,1972,2.451668602150537E-5
1,1973,1.9144032682512727E-5
2,1973,1.9576617011278194E-5
3,1973,1.712661502546689E-5
4,1973,1.6951632900432896E-5
5,1973,2.9664563049853367E-5
6,1973,2.443899783830523E-5
7,1973,2.395349131513648E-5
8,1973,1.546857857733665E-5
9,1973,1.2319552991452988E-5
10,1973,1.829000083787181E-5
11,1973,1.3447470995670991E-5
12,1973,2.7039868873062433E-5
1,1974,2.2517082767402376E-5
2,1974,3.486839050751878E-5
3,1974,3.060924465856724E-5
4,1974,2.1726260173160175E-5
5,1974,2.3820477167993292E-5
6,1974,2.4303642424242425E-5
7,1974,1.7590453288646845E-5
8,1974,1.0366136062861867E-5
9,1974,1.6147264957264956E-5
10,1974,2.648693258891646E-5
11,1974,2.990496752136751E-5
12,1974,2.6212756410256404E-5
1,1975,2.640032299421009E-5
2,1975,2.4787372710622715E-5
3,1975,2.3011045078577343E-5
4,1975,2.905538034188033E-5
5,1975,2.8330665012406946E-5
6,1975,2.890520726495726E-5
7,1975,2.1840466501240704E-5
8,1975,1.4437916873449125E-5
9,1975,2.1818245299145298E-5
10,1975,1.519857568238214E-5
11,1975,1.9654149145299154E-5
12,1975,2.138598014888337E-5
1,1976,1.3795242762613723E-5
2,1976,2.016996551724137E-5
3,1976,1.7346691480562445E-5
4,1976,1.5538149572649574E-5
5,1976,1.7102073614557484E-5
6,1976,1.37764217948718E-5
7,1976,1.1234904880066172E-5
8,1976,8.355021505376341E-6
9,1976,1.313865769230769E-5
10,1976,3.193852026468155E-5
11,1976,4.1717738034188024E-5
12,1976,4.323604383788253E-5
1,1977,3.275720306038049E-5
2,1977,5.41697380952381E-5
3,1977,3.5615495037220855E-5
4,1977,3.613971025641027E-5
5,1977,5.394522497932176E-5
6,1977,5.519879829059831E-5
7,1977,3.9743116625310174E-5
8,1977,3.215503349875931E-5
9,1977,1.912029273504273E-5
10,1977,2.4798264681555013E-5
11,1977,2.477960299145299E-5
12,1977,2.8363417700578986E-5
1,1978,3.0127042597187748E-5
2,1978,5.127137042124543E-5
3,1978,5.1554700165425964E-5
4,1978,4.009060384615383E-5
5,1978,5.125663523573202E-5
6,1978,5.077135683760682E-5
7,1978,3.7021545905707205E-5
8,1978,2.3196604218362273E-5
9,1978,1.505880512820513E-5
10,1978,1.1855719189412738E-5
11,1978,1.2311770085470079E-5
12,1978,1.8339941687344915E-5
1,1979,2.8171184863523607E-5
2,1979,4.448296199633699E-5
3,1979,3.840236724565756E-5
4,1979,3.7530417094017095E-5
5,1979,4.651664019851119E-5
6,1979,4.5877105982905985E-5
7,1979,2.1583232837055412E-5
8,1979,1.5409002067824642E-5
9,1979,1.132376480541455E-5
10,1979,2.9508799510004082E-5
11,1979,2.6958485232067524E-5
12,1979,3.609414904042465E-5
1,1980,3.495696978358515E-5
2,1980,4.430030859886513E-5
3,1980,3.5614055124540635E-5
4,1980,2.9002175949367104E-5
5,1980,3.079050551245406E-5
6,1980,3.9657970464135034E-5
7,1980,3.799724989791752E-5
8,1980,2.2760485504287478E-5
9,1980,1.8341902966101697E-5
10,1980,2.792882258064516E-5
11,1980,2.5864312393162393E-5
