month,year,sum_debit
6,1994,93251.54700000002
7,1994,65571.288
8,1994,41800.615000000005
9,1994,88444.27099999998
10,1994,87568.66699999997
11,1994,134755.97099999996
12,1994,70993.08799999999
1,1995,113784.33399999997
2,1995,120557.79400000004
3,1995,107632.63699999992
4,1995,90994.68900000006
5,1995,118796.06899999997
6,1995,100786.44800000002
7,1995,84951.12900000006
8,1995,45430.893000000004
9,1995,54974.64999999999
10,1995,45762.522000000004
11,1995,48083.22799999999
12,1995,72517.60799999998
1,1996,115257.55199999995
2,1996,77285.982
3,1996,68225.74100000002
4,1996,54092.106
5,1996,86743.91100000005
6,1996,79401.29999999999
7,1996,64954.93299999998
8,1996,43601.36200000001
9,1996,37061.748999999996
10,1996,43188.63200000001
11,1996,87383.50300000001
12,1996,112954.823
1,1997,88836.16299999999
2,1997,64302.604999999996
3,1997,58831.27800000001
4,1997,49273.31900000001
5,1997,71614.13
6,1997,73567.03699999998
7,1997,78422.262
8,1997,45477.557000000015
9,1997,45113.98599999999
10,1997,42233.935000000005
11,1997,65888.561
12,1997,87767.611
1,1998,94663.34700000002
2,1998,49847.35200000001
3,1998,50856.38499999998
4,1998,89705.582
5,1998,88867.53199999999
6,1998,77825.537
7,1998,43132.69600000001
8,1998,31978.817000000003
9,1998,39291.474999999984
10,1998,67657.10600000003
11,1998,71436.752
12,1998,52293.47700000001
1,1999,61363.053
2,1999,77367.925
3,1999,84211.38200000001
4,1999,79916.609
5,1999,153720.25600000008
6,1999,86587.48200000002
7,1999,52483.99599999999
8,1999,45289.83500000001
9,1999,47125.718000000015
10,1999,78641.16699999997
11,1999,71328.36600000002
12,1999,95369.645
1,2000,60816.35999999998
2,2000,58662.28600000002
3,2000,69944.08299999997
4,2000,83012.30900000001
5,2000,107295.56300000002
6,2000,76696.34700000001
7,2000,51356.23499999999
8,2000,43876.41899999999
9,2000,43119.22099999999
10,2000,79657.32400000001
11,2000,146843.25099999996
12,2000,95548.67099999997
