year,region,department,typology,avgTotalPower,sumTotalPower
2020,HAUTS DE FRANCE,OISE,Agricole territorial,20.262249999999998,81.04899999999999
2021,BRETAGNE,ILLE ET VILAINE,Agricole autonome,4.535424173913043,104.31475599999999
2020,GRAND EST,AUBE,Agricole autonome,10.78433333333333,32.352999999999994
2019,AUVERGNE RHONE ALPES,ALLIER,Agricole autonome,1.687,1.687
2021,OCCITANIE,ARIEGE,Agricole autonome,6.803134,6.803134
2021,NORMANDIE,EURE,Agricole autonome,6.5479705,13.095941
2021,NOUVELLE AQUITAINE,LANDES,Agricole territorial,66.042632,66.042632
2021,GRAND EST,VOSGES,Agricole territorial,13.28908,13.28908
2019,BRETAGNE,ILLE ET VILAINE,Agricole autonome,4.322,17.288
2021,HAUTS DE FRANCE,NORD,Installation de stockage des déchets non dangereux (ISDND),14.699536,14.699536
2021,AUVERGNE RHONE ALPES,ISERE,Agricole autonome,9.0519115,18.103823
2019,CENTRE VAL DE LOIRE,EURE ET LOIR,Agricole autonome,10.407,10.407
2018,AUVERGNE RHONE ALPES,ISERE,Boues de stations d'épuration (STEP),10.4875,20.975
2016,CENTRE VAL DE LOIRE,LOIRET,Agricole autonome,9.337,9.337
2021,NOUVELLE AQUITAINE,DEUX SEVRES,Agricole territorial,14.376837,43.130511
2016,CENTRE VAL DE LOIRE,INDRE ET LOIRE,Boues de stations d'épuration (STEP),0.403,0.403
2020,OCCITANIE,TARN,Agricole autonome,14.697,14.697
2018,GRAND EST,VOSGES,Agricole territorial,4.544,4.544
2018,HAUTS DE FRANCE,NORD,Déchets ménagers et biodéchets,3.082,3.082
2020,ILE DE FRANCE,ESSONNE,Agricole autonome,10.711,10.711
2020,CENTRE VAL DE LOIRE,CHER,Agricole territorial,17.035,17.035
2021,CENTRE VAL DE LOIRE,INDRE ET LOIRE,Agricole territorial,9.361546,9.361546
2020,CENTRE VAL DE LOIRE,LOIRET,Agricole autonome,8.844333333333333,26.533
2021,AUVERGNE RHONE ALPES,HAUTE SAVOIE,Agricole territorial,4.836919,4.836919
2020,ILE DE FRANCE,VAL D OISE,Boues de stations d'épuration (STEP),1.087,1.087
2019,AUVERGNE RHONE ALPES,ISERE,Boues de stations d'épuration (STEP),11.219,22.438
2017,HAUTS DE FRANCE,NORD,Déchets ménagers et biodéchets,7.917,7.917
2020,BOURGOGNE FRANCHE COMTE,YONNE,Agricole autonome,5.899,5.899
2020,HAUTS DE FRANCE,AISNE,Agricole autonome,7.270625,58.165
2019,GRAND EST,VOSGES,Industriel territorial,0.0,0.0
2018,HAUTS DE FRANCE,PAS DE CALAIS,Agricole autonome,16.049,16.049
2021,HAUTS DE FRANCE,AISNE,Agricole territorial,12.18184525,48.727381
2020,GRAND EST,MEURTHE ET MOSELLE,Agricole territorial,17.151,17.151
2017,HAUTS DE FRANCE,SOMME,Agricole territorial,17.901,17.901
2021,PAYS DE LA LOIRE,MAINE ET LOIRE,Agricole autonome,7.777112750000001,31.108451000000002
2020,CENTRE VAL DE LOIRE,EURE ET LOIR,Agricole autonome,13.085,13.085
2020,BOURGOGNE FRANCHE COMTE,SAONE ET LOIRE,Agricole territorial,15.941,15.941
2017,AUVERGNE RHONE ALPES,ISERE,Boues de stations d'épuration (STEP),8.298,16.596
2021,BRETAGNE,COTES D ARMOR,Industriel territorial,44.186023,44.186023
2018,GRAND EST,BAS RHIN,Agricole territorial,6.503,6.503
2017,HAUTS DE FRANCE,AISNE,Agricole territorial,14.083,14.083
2018,GRAND EST,MARNE,Agricole autonome,13.971,13.971
2018,ILE DE FRANCE,YVELINES,Agricole territorial,0.384,0.384
2019,OCCITANIE,PYRENEES ORIENTALES,Boues de stations d'épuration (STEP),5.064,5.064
2015,BRETAGNE,ILLE ET VILAINE,Agricole autonome,1.405,1.405
2017,GRAND EST,HAUTE MARNE,Agricole territorial,11.77,11.77
2020,HAUTS DE FRANCE,SOMME,Agricole territorial,19.242,19.242
2018,BRETAGNE,MORBIHAN,Agricole territorial,9.289,9.289
2017,HAUTS DE FRANCE,PAS DE CALAIS,Déchets ménagers et biodéchets,9.91,9.91
2021,CENTRE VAL DE LOIRE,EURE ET LOIR,Agricole autonome,12.412666,24.825332
2018,AUVERGNE RHONE ALPES,HAUTE SAVOIE,Boues de stations d'épuration (STEP),12.426,12.426
2019,OCCITANIE,GERS,Installation de stockage des déchets non dangereux (ISDND),4.884,4.884
2021,BRETAGNE,FINISTERE,Boues de stations d'épuration (STEP),5.232006999999999,5.232006999999999
2020,HAUTS DE FRANCE,PAS DE CALAIS,Industriel territorial,4.007,4.007
2018,CENTRE VAL DE LOIRE,CHER,Agricole territorial,5.897,5.897
2015,GRAND EST,AUBE,Agricole territorial,7.875,15.75
2019,GRAND EST,AUBE,Agricole territorial,19.906,39.812
2021,GRAND EST,MOSELLE,Boues de stations d'épuration (STEP),1.368421,1.368421
2021,BRETAGNE,FINISTERE,Agricole autonome,5.926735499999999,35.56041299999999
2020,PAYS DE LA LOIRE,LOIRE ATLANTIQUE,Agricole autonome,6.845000000000001,13.690000000000001
2018,ILE DE FRANCE,ESSONNE,Installation de stockage des déchets non dangereux (ISDND),1.124,1.124
2021,ILE DE FRANCE,YVELINES,Agricole territorial,1.09955,1.09955
2021,PROVENCE ALPES COTE D AZUR,ALPES MARITIMES,Boues de stations d'épuration (STEP),4.763821,4.763821
2020,PROVENCE ALPES COTE D AZUR,VAR,Boues de stations d'épuration (STEP),7.637,7.637
2019,PAYS DE LA LOIRE,VENDEE,Agricole territorial,9.97025,39.881
2019,CENTRE VAL DE LOIRE,INDRE,Agricole autonome,5.198,10.396
2017,GRAND EST,MOSELLE,Agricole territorial,5.074,5.074
2017,BOURGOGNE FRANCHE COMTE,TERRITOIRE DE BELFORT,Agricole autonome,7.48,7.48
2016,HAUTS DE FRANCE,PAS DE CALAIS,Déchets ménagers et biodéchets,4.848,4.848
2017,PAYS DE LA LOIRE,VENDEE,Agricole territorial,8.348,8.348
2021,HAUTS DE FRANCE,SOMME,Agricole territorial,18.231975,18.231975
2019,CENTRE VAL DE LOIRE,LOIRET,Installation de stockage des déchets non dangereux (ISDND),9.666,9.666
2019,HAUTS DE FRANCE,NORD,Déchets ménagers et biodéchets,0.835,0.835
2021,PAYS DE LA LOIRE,SARTHE,Agricole autonome,11.167698999999999,22.335397999999998
2021,PAYS DE LA LOIRE,LOIRE ATLANTIQUE,Agricole territorial,15.875957,15.875957
2020,PAYS DE LA LOIRE,VENDEE,Agricole autonome,2.79325,11.173
